height, weight, label 
154,45,thin
197,66,thin
148,97,thin
165,94,thin
196,38,thin
197,58,thin
196,91,thin
168,99,thin
136,76,thin
159,56,thin
134,40,thin
120,100,thin
162,68,thin
164,93,thin
137,66,thin
165,47,thin
158,99,thin
176,63,thin
152,41,thin
132,42,thin
182,87,thin
155,67,thin
141,63,thin
124,88,thin
191,62,thin
183,38,thin
150,51,thin
157,68,thin
133,81,thin
153,65,thin
154,61,thin
148,73,thin
183,54,thin
171,62,thin
198,48,thin
153,55,thin
182,72,thin
178,91,thin
120,48,thin
173,39,thin
178,78,thin
183,58,thin
167,80,thin
181,98,thin
129,57,thin
185,47,thin
138,70,thin
185,57,thin
172,60,thin
198,57,thin
151,64,thin
140,36,thin
183,46,thin
153,88,thin
160,36,thin
157,54,thin
130,97,thin
151,40,thin
196,52,thin
182,72,thin
124,57,thin
191,69,thin
179,66,thin
170,56,thin
133,88,thin
143,67,thin
136,41,thin
156,83,thin
146,47,thin
120,35,thin
183,46,thin
183,97,thin
161,62,thin
177,37,thin
156,64,thin
144,68,thin
130,37,thin
141,100,thin
199,84,thin
173,43,thin
169,94,thin
146,56,thin
142,57,thin
153,80,thin
190,69,thin
172,95,thin
164,89,thin
192,58,thin
178,80,thin
196,69,thin
124,66,thin
143,84,thin
131,87,thin
145,53,thin
128,49,thin
150,55,thin
187,58,thin
132,92,thin
126,58,thin
187,57,thin
148,85,thin
141,83,thin
130,85,thin
173,78,thin
171,48,thin
187,95,thin
197,99,thin
170,43,thin
200,65,thin
143,44,thin
126,79,thin
140,41,thin
165,46,thin
172,73,thin
188,57,thin
182,68,thin
161,52,thin
141,50,thin
161,40,thin
200,63,thin
133,35,thin
188,53,thin
197,68,thin
176,80,thin
180,100,thin
199,51,thin
143,91,thin
147,88,thin
142,95,thin
163,39,thin
123,61,thin
136,55,thin
121,70,thin
168,86,thin
157,64,thin
125,48,thin
198,90,thin
175,78,thin
160,68,thin
160,54,thin
132,81,thin
166,67,thin
164,90,thin
148,38,thin
200,82,thin
159,86,thin
141,50,thin
166,81,thin
177,89,thin
182,76,thin
152,61,thin
160,55,thin
139,82,thin
168,96,thin
157,56,thin
124,42,thin
186,98,thin
192,87,thin
140,37,thin
156,83,thin
184,100,thin
123,73,thin
198,100,thin
164,49,thin
138,43,thin
171,83,thin
160,100,thin
200,92,thin
148,73,thin
188,60,thin
122,54,thin
151,57,thin
158,38,thin
157,92,thin
138,47,thin
193,38,thin
194,95,thin
133,49,thin
179,92,thin
123,88,thin
177,54,thin
178,46,thin
150,51,thin
186,67,thin
134,91,thin
172,41,thin
123,44,thin
180,86,thin
123,75,thin
147,76,thin
146,50,thin
197,42,thin
190,44,thin
171,47,thin
145,100,thin
176,83,thin
174,84,thin
183,68,thin
189,52,thin
190,56,thin
173,66,thin
134,43,thin
158,36,thin
123,41,thin
149,94,thin
193,39,thin
156,89,thin
122,63,thin
149,86,thin
185,40,thin
169,46,thin
169,69,thin
176,95,thin
167,64,thin
157,88,thin
180,92,thin
131,61,thin
121,45,thin
130,89,thin
148,41,thin
121,40,thin
129,79,thin
165,46,thin
194,77,thin
162,82,thin
189,54,thin
140,85,thin
186,75,thin
182,86,thin
156,37,thin
197,59,thin
162,61,thin
186,88,thin
191,93,thin
144,40,thin
190,45,thin
191,55,thin
142,81,thin
158,69,thin
168,44,thin
167,37,thin
165,70,thin
152,63,thin
135,54,thin
172,69,thin
185,44,thin
181,58,thin
177,69,thin
129,52,thin
148,82,thin
141,99,thin
198,72,thin
169,47,thin
156,40,thin
151,79,thin
188,94,thin
174,96,thin
130,79,thin
187,95,thin
155,86,thin
157,82,thin
163,47,thin
146,55,thin
198,95,thin
170,93,thin
145,61,thin
151,50,thin
189,54,thin
189,96,thin
195,67,thin
176,60,thin
196,68,thin
186,57,thin
179,99,thin
149,79,thin
196,86,thin
188,93,thin
129,71,thin
184,97,thin
137,59,thin
159,87,thin
126,92,thin
149,68,thin
189,92,thin
160,46,thin
159,79,thin
150,37,thin
152,100,thin
163,51,thin
192,48,thin
168,94,thin
151,59,thin
164,38,thin
184,98,thin
196,87,thin
152,75,thin
156,87,thin
161,68,thin
132,78,thin
192,48,thin
175,93,thin
166,93,thin
127,88,thin
151,73,thin
146,77,thin
167,85,thin
126,52,thin
167,53,thin
185,45,thin
172,75,thin
127,41,thin
192,49,thin
144,39,thin
155,76,thin
161,55,thin
123,67,thin
132,100,thin
131,39,thin
171,56,thin
173,88,thin
131,54,thin
129,43,thin
146,86,thin
190,88,thin
158,45,thin
176,78,thin
145,62,thin
130,83,thin
138,54,thin
182,64,thin
194,93,thin
144,45,thin
194,85,thin
186,76,thin
134,97,thin
161,51,thin
178,73,thin
165,74,thin
179,81,thin
162,35,thin
132,98,thin
179,73,thin
180,78,thin
174,50,thin
142,62,thin
172,54,thin
160,74,thin
167,77,thin
128,45,thin
175,92,thin
159,63,thin
151,81,thin
192,40,thin
193,90,thin
137,42,thin
123,55,thin
173,70,thin
192,70,thin
151,67,thin
193,61,thin
139,91,thin
141,45,thin
127,51,thin
149,55,thin
131,99,thin
182,65,thin
134,88,thin
186,98,thin
145,68,thin
158,72,thin
130,44,thin
133,84,thin
191,44,thin
123,78,thin
167,37,thin
171,39,thin
196,36,thin
146,97,thin
191,50,thin
180,61,thin
128,91,thin
172,66,thin
165,67,thin
172,63,thin
123,36,thin
142,54,thin
142,50,thin
131,82,thin
174,48,thin
162,36,thin
187,44,thin
134,91,thin
125,51,thin
130,51,thin
141,43,thin
122,61,thin
167,66,thin
144,80,thin
180,82,thin
141,75,thin
162,85,thin
160,81,thin
150,83,thin
167,69,thin
133,68,thin
154,64,thin
191,47,thin
169,87,thin
188,56,thin
189,61,thin
155,37,thin
168,47,thin
146,72,thin
127,96,thin
164,50,thin
126,94,thin
163,85,thin
157,82,thin
175,44,thin
141,71,thin
198,39,thin
173,85,thin
133,68,thin
152,88,thin
191,94,thin
138,38,thin
140,40,thin
163,63,thin
152,46,thin
177,66,thin
189,56,thin
129,82,thin
135,87,thin
199,68,thin
129,41,thin
199,44,thin
143,97,thin
159,68,thin
134,75,thin
177,56,thin
199,93,thin
164,73,thin
184,80,thin
162,75,thin
162,51,thin
163,88,thin
128,38,thin
181,79,thin
163,75,thin
173,47,thin
186,79,thin
169,72,thin
189,55,thin
198,49,thin
183,67,thin
139,45,thin
120,39,thin
156,61,thin
176,83,thin
131,88,thin
154,38,thin
189,44,thin
135,65,thin
182,38,thin
182,45,thin
127,100,thin
186,86,thin
154,52,thin
190,89,thin
155,94,thin
139,90,thin
183,66,thin
141,71,thin
130,67,thin
148,61,thin
133,73,thin
127,63,thin
194,87,thin
133,81,thin
171,71,thin
149,94,thin
176,55,thin
185,90,thin
151,43,thin
138,48,thin
136,41,thin
183,98,thin
192,70,thin
169,72,thin
129,50,thin
188,86,thin
133,81,thin
121,47,thin
186,65,thin
138,60,thin
186,96,thin
128,65,thin
182,74,thin
161,57,thin
147,66,thin
163,63,thin
137,42,thin
158,81,thin
128,74,thin
162,79,thin
127,65,thin
169,55,thin
152,77,thin
120,87,thin
145,73,thin
178,74,thin
124,71,thin
181,61,thin
186,90,thin
161,41,thin
133,40,thin
123,44,thin
137,42,thin
187,55,thin
158,67,thin
143,99,thin
180,72,thin
183,64,thin
178,45,thin
142,35,thin
136,56,thin
154,75,thin
183,40,thin
180,86,thin
146,54,thin
184,71,thin
123,69,thin
159,95,thin
137,89,thin
171,42,thin
152,76,thin
133,71,thin
134,35,thin
162,35,thin
191,47,thin
181,50,thin
131,88,thin
157,53,thin
129,41,thin
163,91,thin
160,57,thin
139,63,thin
143,54,thin
154,54,thin
141,89,thin
146,56,thin
187,73,thin
138,59,thin
191,70,thin
120,56,thin
127,45,thin
149,56,thin
191,47,thin
200,65,thin
120,51,thin
167,95,thin
130,93,thin
124,44,thin
132,81,thin
173,89,thin
144,39,thin
150,87,thin
179,94,thin
200,72,thin
191,60,thin
192,86,thin
136,58,thin
172,71,thin
185,78,thin
174,77,thin
135,70,thin
158,73,thin
185,81,thin
122,45,thin
172,93,thin
197,41,thin
139,78,thin
174,71,thin
163,57,thin
168,46,thin
143,100,thin
168,70,thin
179,50,thin
161,61,thin
149,90,thin
154,87,thin
200,65,thin
122,72,thin
148,92,thin
123,58,thin
179,65,thin
187,60,thin
154,66,thin
156,93,thin
194,86,thin
186,81,thin
125,88,thin
198,91,thin
197,54,thin
196,38,thin
141,99,thin
146,85,thin
133,63,thin
144,65,thin
122,89,thin
192,99,thin
195,89,thin
175,46,thin
174,45,thin
160,88,thin
192,60,thin
125,61,thin
138,96,thin
156,69,thin
153,89,thin
162,53,thin
128,89,thin
196,35,thin
164,81,thin
184,81,thin
179,36,thin
152,78,thin
174,82,thin
158,81,thin
188,83,thin
132,39,thin
166,46,thin
176,65,thin
136,87,thin
136,83,thin
152,39,thin
159,79,thin
142,70,thin
143,68,thin
199,78,thin
151,98,thin
137,87,thin
154,64,thin
136,39,thin
177,92,thin
196,37,thin
196,83,thin
178,49,thin
189,80,thin
155,60,thin
157,94,thin
136,98,thin
172,83,thin
148,90,thin
125,51,thin
152,94,thin
151,67,thin
182,35,thin
198,97,thin
196,41,thin
151,93,thin
158,43,thin
125,96,thin
152,80,thin
168,95,thin
189,57,thin
181,56,thin
166,49,thin
147,38,thin
176,85,thin
150,52,thin
149,36,thin
149,62,thin
138,80,thin
161,50,thin
126,76,thin
198,92,thin
144,85,thin
130,65,thin
191,95,thin
191,74,thin
178,89,thin
120,38,thin
143,70,thin
197,81,thin
150,86,thin
144,90,thin
166,82,thin
183,37,thin
185,90,thin
139,56,thin
182,68,thin
141,86,thin
127,78,thin
182,92,thin
166,73,thin
190,48,thin
172,74,thin
148,75,thin
165,57,thin
157,56,thin
167,94,thin
159,92,thin
147,93,thin
168,74,thin
148,80,thin
131,96,thin
175,64,thin
135,48,thin
170,83,thin
185,69,thin
149,74,thin
127,48,thin
128,86,thin
152,63,thin
127,38,thin
131,64,thin
185,57,thin
133,55,thin
159,63,thin
162,83,thin
169,73,thin
157,58,thin
168,61,thin
171,45,thin
195,41,thin
138,74,thin
177,90,thin
158,100,thin
126,69,thin
197,39,thin
189,84,thin
164,94,thin
143,83,thin
141,94,thin
145,35,thin
178,35,thin
162,45,thin
131,44,thin
137,99,thin
168,60,thin
166,52,thin
153,56,thin
147,69,thin
165,39,thin
198,58,thin
166,65,thin
165,41,thin
164,70,thin
148,44,thin
161,73,thin
170,47,thin
127,36,thin
183,65,thin
153,93,thin
195,83,thin
140,49,thin
140,60,thin
180,68,thin
163,57,thin
146,63,thin
136,76,thin
166,75,thin
195,44,thin
134,94,thin
171,35,thin
190,81,thin
129,76,thin
156,48,thin
191,44,thin
180,74,thin
194,61,thin
176,36,thin
127,41,thin
164,86,thin
196,58,thin
143,65,thin
195,54,thin
179,65,thin
126,80,thin
187,37,thin
136,37,thin
140,91,thin
125,55,thin
169,94,thin
155,99,thin
174,94,thin
159,99,thin
195,59,thin
166,99,thin
159,38,thin
156,77,thin
135,95,thin
154,54,thin
200,66,thin
140,66,thin
129,77,thin
163,54,thin
149,85,thin
152,40,thin
163,78,thin
197,69,thin
175,53,thin
152,99,thin
171,97,thin
200,87,thin
193,35,thin
137,72,thin
149,92,thin
120,92,thin
146,44,thin
194,38,thin
183,71,thin
170,40,thin
171,59,thin
194,56,thin
143,92,thin
164,73,thin
197,50,thin
121,73,thin
191,39,thin
182,88,thin
193,88,thin
138,100,thin
137,50,thin
149,97,thin
130,72,thin
188,78,thin
175,38,thin
162,38,thin
161,43,thin
179,86,thin
137,71,thin
133,42,thin
169,86,thin
176,89,thin
165,92,thin
151,95,thin
168,41,thin
181,91,thin
146,64,thin
164,68,thin
191,61,thin
153,87,thin
165,70,thin
126,55,thin
136,38,thin
166,49,thin
145,51,thin
160,49,thin
186,41,thin
167,46,thin
189,71,thin
149,56,thin
139,92,thin
193,38,thin
199,38,thin
190,81,thin
185,60,thin
138,84,thin
126,59,thin
190,35,thin
147,88,thin
197,46,thin
126,52,thin
170,43,thin
129,74,thin
123,70,thin
163,59,thin
171,62,thin
158,46,thin
178,39,thin
131,36,thin
161,90,thin
200,71,thin
143,36,thin
154,93,thin
126,62,thin
135,65,thin
149,45,thin
147,83,thin
188,35,thin
161,54,thin
134,88,thin
165,58,thin
158,87,thin
134,92,thin
144,43,thin
136,46,thin
174,38,thin
199,38,thin
177,45,thin
126,73,thin
172,50,thin
145,53,thin
151,57,thin
129,86,thin
168,65,thin
142,96,thin
172,81,thin
120,100,thin
162,78,thin
183,81,thin
157,85,thin
154,92,thin
136,99,thin
159,95,thin
147,36,thin
124,90,thin
179,95,thin
121,86,thin
148,41,thin
151,64,thin
181,76,thin
175,93,thin
147,76,thin
163,99,thin
176,99,thin
160,70,thin
127,93,thin
189,48,thin
197,99,thin
188,70,thin
178,76,thin
200,43,thin
200,37,thin
140,78,thin
145,48,thin
142,68,thin
131,97,thin
138,65,thin
184,93,thin
173,75,thin
189,78,thin
159,39,thin
136,38,thin
145,73,thin
133,85,thin
181,89,thin
198,65,thin
153,59,thin
127,66,thin
138,90,thin
145,79,thin
193,77,thin
139,92,thin
164,43,thin
134,90,thin
179,35,thin
159,48,thin
196,88,thin
147,94,thin
130,84,thin
145,87,thin
180,85,thin
169,93,thin
164,72,thin
140,42,thin
191,82,thin
192,56,thin
139,46,thin
181,80,thin
140,81,thin
173,49,thin
166,96,thin
172,95,thin
181,38,thin
195,58,thin
171,65,thin
195,71,thin
154,100,thin
169,92,thin
190,89,thin
164,64,thin
149,35,thin
194,96,thin
153,42,thin
155,89,thin
124,66,thin
182,60,thin
171,54,thin
170,63,thin
147,42,thin
194,55,thin
180,89,thin
181,79,thin
126,81,thin
150,83,thin
130,44,thin
139,93,thin
186,36,thin
194,87,thin
163,42,thin
161,39,thin
148,84,thin
145,73,thin
